origin,policy,Q,rotation,window,n32,mean,SE
i20_new,oracle_nuisance/rstar/cp,0,0,startup,32,1.2343301697575746,0.11339419428321795
i20_new,oracle_nuisance/rstar/rec99,0,0,startup,32,1.2343301697575746,0.11339419428321795
i20_new,oracle_nuisance/rstar/rec9,0,0,startup,32,0.78578423857474311,0.035102010568350425
i20_new,native/r0p9/cp,0,0,transition,32,0.21924205002719493,0.0043887128194797648
i20_new,native/r0p9/rec99,0,0,transition,32,0.22062375246135446,0.00427295495053786
i20_new,native/r0p9/rec9,0,0,transition,32,0.2695903855835905,0.0053432972998018798
i20_new,native/rstar/cp,0,0,transition,32,0.62875034359318949,0.0076763634757144282
i20_new,native/rstar/rec99,0,0,transition,32,0.63113983690813868,0.0075540098514163007
i20_new,native/rstar/rec9,0,0,transition,32,0.67896742350689543,0.0075886144001156633
i20_new,full_legacy/r0p9/cp,0,0,transition,32,0.22389882457495447,0.0052182829218782433
i20_new,full_legacy/r0p9/rec99,0,0,transition,32,0.22453655177639759,0.0049660634190810734
i20_new,full_legacy/r0p9/rec9,0,0,transition,32,0.2695903855835905,0.0053432972998018798
i20_new,full_legacy/rstar/cp,0,0,transition,32,0.64113855850489521,0.0080632576005905884
i20_new,full_legacy/rstar/rec99,0,0,transition,32,0.64385854697607503,0.0080047781418950137
i20_new,full_legacy/rstar/rec9,0,0,transition,32,0.68680390010901293,0.0080179791193160637
i20_new,ew99/r0p9/cp,0,0,transition,32,0.22706378985951073,0.0057608799990312761
i20_new,ew99/r0p9/rec99,0,0,transition,32,0.22264710288415257,0.0052662282011283895
i20_new,ew99/r0p9/rec9,0,0,transition,32,0.2695903855835905,0.0053432972998018798
i20_new,ew99/rstar/cp,0,0,transition,32,0.64766715123503193,0.0085822084128079103
i20_new,ew99/rstar/rec99,0,0,transition,32,0.64427853032873617,0.0081875597318956158
i20_new,ew99/rstar/rec9,0,0,transition,32,0.69029446942711126,0.0082346264307129446
i20_new,ew999/r0p9/cp,0,0,transition,32,0.22548087652473842,0.0055912992920316368
i20_new,ew999/r0p9/rec99,0,0,transition,32,0.22130476880355007,0.0051505480329802362
i20_new,ew999/r0p9/rec9,0,0,transition,32,0.2695903855835905,0.0053432972998018798
i20_new,ew999/rstar/cp,0,0,transition,32,0.64355965732488851,0.0083266540304447276
i20_new,ew999/rstar/rec99,0,0,transition,32,0.63951975767155911,0.0080269328347676184
i20_new,ew999/rstar/rec9,0,0,transition,32,0.68762961951398616,0.0081719828824271847
i20_new,oracle_useful/r0p9/cp,0,0,transition,32,0.097794995268960266,0.0077534022982368713
i20_new,oracle_useful/r0p9/rec99,0,0,transition,32,0.097794995268960266,0.0077534022982368731
i20_new,oracle_useful/r0p9/rec9,0,0,transition,32,0.2695903855835905,0.0053432972998018798
i20_new,oracle_useful/rstar/cp,0,0,transition,32,0.20173391743046065,0.0081284838841923935
i20_new,oracle_useful/rstar/rec99,0,0,transition,32,0.20173391743046068,0.0081284838841923952
i20_new,oracle_useful/rstar/rec9,0,0,transition,32,0.37352930774509085,0.0056210174461985276
i20_new,oracle_nuisance/r0p9/cp,0,0,transition,32,0.22918896217059254,0.0060146865588755977
i20_new,oracle_nuisance/r0p9/rec99,0,0,transition,32,0.22918896217059251,0.0060146865588755977
i20_new,oracle_nuisance/r0p9/rec9,0,0,transition,32,0.2695903855835905,0.0053432972998018798
i20_new,oracle_nuisance/rstar/cp,0,0,transition,32,0.64829602191084645,0.008859261223601313
i20_new,oracle_nuisance/rstar/rec99,0,0,transition,32,0.64829602191084645,0.008859261223601313
i20_new,oracle_nuisance/rstar/rec9,0,0,transition,32,0.68869744532384447,0.0082830348533135326
i20_new,native/r0p9/cp,0,0,late,32,0.21741147580349929,0.0022493162934930934
i20_new,native/r0p9/rec99,0,0,late,32,0.21759163160885059,0.0022562924110514073
i20_new,native/r0p9/rec9,0,0,late,32,0.26474327926233315,0.0023518050102707445
i20_new,native/rstar/cp,0,0,late,32,0.63807602672284114,0.0043319041770248732
i20_new,native/rstar/rec99,0,0,late,32,0.63865585935968783,0.0043137081086456535
i20_new,native/rstar/rec9,0,0,late,32,0.68545462832207327,0.0043473305158665543
i20_new,full_legacy/r0p9/cp,0,0,late,32,0.21763775308148969,0.0022511292151786415
i20_new,full_legacy/r0p9/rec99,0,0,late,32,0.21797189139466611,0.0022602627985525768
i20_new,full_legacy/r0p9/rec9,0,0,late,32,0.26474327926233315,0.0023518050102707445
i20_new,full_legacy/rstar/cp,0,0,late,32,0.63883142767290946,0.004329634587237949
i20_new,full_legacy/rstar/rec99,0,0,late,32,0.63990793526816403,0.0043024404349807886
i20_new,full_legacy/rstar/rec9,0,0,late,32,0.68602292529169606,0.0043421231233416648
i20_new,ew99/r0p9/cp,0,0,late,32,0.21763777229691694,0.0022511297962925845
i20_new,ew99/r0p9/rec99,0,0,late,32,0.21797192467996679,0.0022602585844703187
i20_new,ew99/r0p9/rec9,0,0,late,32,0.26474327926233315,0.0023518050102707445
i20_new,ew99/rstar/cp,0,0,late,32,0.63883145128675078,0.0043296400442425376
i20_new,ew99/rstar/rec99,0,0,late,32,0.63990794850785337,0.0043024411250482033
i20_new,ew99/rstar/rec9,0,0,late,32,0.68602293041688533,0.0043421276959553796
i20_new,ew999/r0p9/cp,0,0,late,32,0.21675266956181261,0.0022472701753536431
i20_new,ew999/r0p9/rec99,0,0,late,32,0.2167520104242284,0.0022474891003297021
i20_new,ew999/r0p9/rec9,0,0,late,32,0.26474327926233315,0.0023518050102707445
i20_new,ew999/rstar/cp,0,0,late,32,0.63600977509899448,0.0043298506175778991
i20_new,ew999/rstar/rec99,0,0,late,32,0.63600787393365288,0.0043261445513252351
i20_new,ew999/rstar/rec9,0,0,late,32,0.68399864305245117,0.0043566283672597777
i20_new,oracle_useful/r0p9/cp,0,0,late,32,0.072947209022407991,0.0011106440788712477
i20_new,oracle_useful/r0p9/rec99,0,0,late,32,0.072947209022407991,0.0011106440788712475
i20_new,oracle_useful/r0p9/rec9,0,0,late,32,0.26474327926233315,0.0023518050102707445
i20_new,oracle_useful/rstar/cp,0,0,late,32,0.17717479475567216,0.0016262272193152058
i20_new,oracle_useful/rstar/rec99,0,0,late,32,0.17717479475567216,0.0016262272193152058
i20_new,oracle_useful/rstar/rec9,0,0,late,32,0.36897086499559739,0.0024465396622575498
i20_new,oracle_nuisance/r0p9/cp,0,0,late,32,0.21670732860731956,0.0022520446705224652
i20_new,oracle_nuisance/r0p9/rec99,0,0,late,32,0.21670732860731956,0.0022520446705224643
i20_new,oracle_nuisance/r0p9/rec9,0,0,late,32,0.26474327926233315,0.0023518050102707445
i20_new,oracle_nuisance/rstar/cp,0,0,late,32,0.63578931981859943,0.0043449294246046708
i20_new,oracle_nuisance/rstar/rec99,0,0,late,32,0.63578931981859943,0.0043449294246046726
i20_new,oracle_nuisance/rstar/rec9,0,0,late,32,0.68382527047361308,0.0043717311143920438
i20_new,native/r0p9/cp,0,0.78539816339744828,whole,32,0.22873723955364145,0.0030464704500715238
i20_new,native/r0p9/rec99,0,0.78539816339744828,whole,32,0.22994789185906059,0.0032456278394750932
i20_new,native/r0p9/rec9,0,0.78539816339744828,whole,32,0.27122267515374332,0.0031207821369980851
i20_new,native/rstar/cp,0,0.78539816339744828,whole,32,0.6411070606575735,0.0045321153072259658
i20_new,native/rstar/rec99,0,0.78539816339744828,whole,32,0.6431469092632478,0.0046528774586291994
i20_new,native/rstar/rec9,0,0.78539816339744828,whole,32,0.68356314876249868,0.0043769627474085923
i20_new,full_legacy/r0p9/cp,0,0.78539816339744828,whole,32,0.22999614146218708,0.0030334161753643777
i20_new,full_legacy/r0p9/rec99,0,0.78539816339744828,whole,32,0.23093765935876256,0.003267073584715798
i20_new,full_legacy/r0p9/rec9,0,0.78539816339744828,whole,32,0.27122267515374332,0.0031207821369980851
i20_new,full_legacy/rstar/cp,0,0.78539816339744828,whole,32,0.64471872247028661,0.0042875966752764999
i20_new,full_legacy/rstar/rec99,0,0.78539816339744828,whole,32,0.64741902121994288,0.0045174157343442524
i20_new,full_legacy/rstar/rec9,0,0.78539816339744828,whole,32,0.68595482809453934,0.0042404748468439068
i20_new,ew99/r0p9/cp,0,0.78539816339744828,whole,32,0.2298221293779627,0.0029503568067058856
i20_new,ew99/r0p9/rec99,0,0.78539816339744828,whole,32,0.22643142250216841,0.0029208894854119644
i20_new,ew99/r0p9/rec9,0,0.78539816339744828,whole,32,0.27122267515374332,0.0031207821369980851
i20_new,ew99/rstar/cp,0,0.78539816339744828,whole,32,0.64683508055219385,0.0040551849224322581
i20_new,ew99/rstar/rec99,0,0.78539816339744828,whole,32,0.64405137354675213,0.0042223870141567177
i20_new,ew99/rstar/rec9,0,0.78539816339744828,whole,32,0.68822021173413239,0.004183529934714489
i20_new,ew999/r0p9/cp,0,0.78539816339744828,whole,32,0.22868634816546912,0.0028926153513764139
