drift,rotation_index,window,policy,mean_mse,seed_standard_error,independent_seeds
0.0,0,startup,raw,4.932579650903242,0.08640357377813143,32
0.0,0,startup,ema_q0p9,0.5496321741083469,0.09021297489173019,32
0.0,0,startup,ema_q0p99,2.5705179991884877,0.7054768897239223,32
0.0,0,startup,ema_q0p999,5.388774345985606,1.476802728831012,32
0.0,0,startup,scalar_k0,2.5705179991884877,0.7054768897239223,32
0.0,0,startup,scalar_k0p5,1.1832142824366865,0.19265516983548123,32
0.0,0,startup,scalar_k0p9,0.6202015424946122,0.061754336035413505,32
0.0,0,startup,scalar_k1,0.5496321741083469,0.09021297489173015,32
0.0,0,startup,oracle_useful,2.270248121680663,0.6872385946933988,32
0.0,0,startup,oracle_nuisance,0.8499020516161715,0.13039582047045273,32
0.0,0,startup,native_i17,0.6303223330684267,0.11715489874562851,32
0.0,0,startup,native_cp,0.6336918852417931,0.11815659314071865,32
0.0,0,transition,raw,4.9805196392512485,0.034565488620809826,32
0.0,0,transition,ema_q0p9,0.2632144980037271,0.005447502998731794,32
0.0,0,transition,ema_q0p99,0.0683870671097595,0.01187147416305341,32
0.0,0,transition,ema_q0p999,2.250985708756906,0.6105559909972033,32
0.0,0,transition,scalar_k0,0.0683870671097595,0.011871474163053406,32
0.0,0,transition,scalar_k0p5,0.5097416649366229,0.005579044518889972,32
0.0,0,transition,scalar_k0p9,0.43409336634295037,0.0062187843154546665,32
0.0,0,transition,scalar_k1,0.2632144980037271,0.005447502998731794,32
0.0,0,transition,oracle_useful,0.10777903638614224,0.01134762930049781,32
0.0,0,transition,oracle_nuisance,0.22382252872734432,0.006044707559659705,32
0.0,0,transition,native_i17,0.21969019635489737,0.0058790477796279795,32
0.0,0,transition,native_cp,0.2195931980734941,0.005875498416709471,32
0.0,0,late,raw,4.992916351751697,0.020172084980202277,32
0.0,0,late,ema_q0p9,0.2640202073191372,0.002107632031199673,32
0.0,0,late,ema_q0p99,0.026380282688283553,0.0008210113218887601,32
0.0,0,late,ema_q0p999,0.13861059213306942,0.03503692461592213,32
0.0,0,late,scalar_k0,0.026380282688283553,0.0008210113218887602,32
0.0,0,late,scalar_k0p5,0.49634008992008605,0.002134711989075363,32
0.0,0,late,scalar_k0p9,0.4289272208524204,0.0025065901101570154,32
0.0,0,late,scalar_k1,0.2640202073191372,0.0021076320311996734,32
0.0,0,late,oracle_useful,0.07289813317436573,0.0008412029025596943,32
0.0,0,late,oracle_nuisance,0.21750235683305497,0.00217254735481997,32
0.0,0,late,native_i17,0.21810051799526103,0.002185634300662147,32
0.0,0,late,native_cp,0.21806668469711987,0.0021873220740006435,32
0.0,1,startup,raw,4.932579650903241,0.08640357377813143,32
0.0,1,startup,ema_q0p9,0.5496321741083469,0.09021297489173015,32
0.0,1,startup,ema_q0p99,2.570517999188488,0.7054768897239224,32
0.0,1,startup,ema_q0p999,5.388774345985606,1.4768027288310122,32
0.0,1,startup,scalar_k0,2.570517999188488,0.7054768897239224,32
0.0,1,startup,scalar_k0p5,1.1832142824366862,0.19265516983548117,32
0.0,1,startup,scalar_k0p9,0.6202015424946123,0.0617543360354135,32
0.0,1,startup,scalar_k1,0.5496321741083469,0.09021297489173018,32
0.0,1,startup,oracle_useful,2.2702481216806634,0.6872385946933988,32
0.0,1,startup,oracle_nuisance,0.8499020516161715,0.13039582047045273,32
0.0,1,startup,native_i17,0.6303223330684263,0.1171548987456283,32
0.0,1,startup,native_cp,0.6336918852417933,0.11815659314071872,32
0.0,1,transition,raw,4.9805196392512485,0.034565488620809805,32
0.0,1,transition,ema_q0p9,0.2632144980037271,0.005447502998731793,32
0.0,1,transition,ema_q0p99,0.0683870671097595,0.011871474163053411,32
0.0,1,transition,ema_q0p999,2.2509857087569065,0.6105559909972029,32
0.0,1,transition,scalar_k0,0.06838706710975952,0.011871474163053416,32
0.0,1,transition,scalar_k0p5,0.5097416649366229,0.005579044518889971,32
0.0,1,transition,scalar_k0p9,0.43409336634295037,0.0062187843154546665,32
0.0,1,transition,scalar_k1,0.2632144980037271,0.005447502998731793,32
0.0,1,transition,oracle_useful,0.10777903638614227,0.011347629300497812,32
0.0,1,transition,oracle_nuisance,0.22382252872734432,0.006044707559659705,32
0.0,1,transition,native_i17,0.21969019635489745,0.005879047779627996,32
0.0,1,transition,native_cp,0.21959319807349417,0.00587549841670948,32
0.0,1,late,raw,4.992916351751697,0.02017208498020227,32
0.0,1,late,ema_q0p9,0.2640202073191372,0.002107632031199673,32
