process_variance,process_index,rotation_index,window,policy,policy_class,mean_mse,seed_standard_error,independent_seeds
0.0,0,0,late,raw,raw,5.008882556616911,0.01755102214427831,32
0.0,0,0,late,ema_q0p9,fixed_uniform_EMA,0.26474327926233315,0.0023518050102707445,32
0.0,0,0,late,ema_q0p99,fixed_uniform_EMA,0.024911258367394377,0.0008323685832639291,32
0.0,0,0,late,ema_q0p999,fixed_uniform_EMA,0.11078669469161165,0.026474768645067714,32
0.0,0,0,late,dema_q0p9,signed_uniform_DEMA,0.6363018336169348,0.004689146572240624,32
0.0,0,0,late,dema_q0p99,signed_uniform_DEMA,0.06260108276905824,0.0015786694913290332,32
0.0,0,0,late,dema_q0p999,signed_uniform_DEMA,0.055865579900608434,0.012471032678273571,32
0.0,0,0,late,common_kalman,model_based_common_control,0.0020994590086603863,0.0002977169896902188,32
0.0,0,0,late,useful_oracle_kalman,generating_direction_oracle,0.0020994590086603243,0.00029771698969021325,32
0.0,0,0,late,scalar_k0,scalar_mixture,0.024911258367394374,0.000832368583263929,32
0.0,0,0,late,scalar_k0p5,scalar_mixture,0.5006312635846635,0.0020294868206599333,32
0.0,0,0,late,scalar_k0p9,scalar_mixture,0.4337870482436068,0.002883130711323183,32
0.0,0,0,late,scalar_k1,scalar_mixture,0.26474327926233315,0.0023518050102707454,32
0.0,0,0,late,oracle_useful,generating_direction_oracle,0.07294720902240799,0.0011106440788712475,32
0.0,0,0,late,oracle_nuisance,generating_direction_oracle,0.21670732860731956,0.0022520446705224643,32
0.0,0,0,late,native_i17,native_learned_direction,0.21744979375263349,0.002249825776810308,32
0.0,0,0,late,native_cp,native_learned_direction,0.2174114758034993,0.002249316293493092,32
0.0,0,0,late,native_cp_star,native_learned_direction,0.6380760267228411,0.004331904177024873,32
0.0,0,0,late,oracle_useful_star,generating_direction_oracle,0.17717479475567216,0.0016262272193152058,32
0.0,0,1,whole,raw,raw,5.003912094344168,0.014483744606845855,32
0.0,0,1,whole,ema_q0p9,fixed_uniform_EMA,0.2712226751537433,0.003120782136998085,32
0.0,0,1,whole,ema_q0p99,fixed_uniform_EMA,0.08349905095851766,0.014186563644568911,32
0.0,0,1,whole,ema_q0p999,fixed_uniform_EMA,0.5968955281808717,0.1457966359793958,32
0.0,0,1,whole,dema_q0p9,signed_uniform_DEMA,0.6405084131395433,0.004763006184821791,32
0.0,0,1,whole,dema_q0p99,signed_uniform_DEMA,0.0919836272856897,0.007807613537920222,32
0.0,0,1,whole,dema_q0p999,signed_uniform_DEMA,0.2994502844465453,0.07174440973907603,32
0.0,0,1,whole,common_kalman,model_based_common_control,0.009862795673166318,0.000758123712022603,32
0.0,0,1,whole,useful_oracle_kalman,generating_direction_oracle,0.009862795673166256,0.0007581237120225992,32
0.0,0,1,whole,scalar_k0,scalar_mixture,0.08349905095851766,0.01418656364456891,32
0.0,0,1,whole,scalar_k0p5,scalar_mixture,0.5157663997713082,0.004234074609757736,32
0.0,0,1,whole,scalar_k0p9,scalar_mixture,0.4383656654835345,0.0031378670885545785,32
0.0,0,1,whole,scalar_k1,scalar_mixture,0.2712226751537433,0.0031207821369980833,32
0.0,0,1,whole,oracle_useful,generating_direction_oracle,0.11740268593813163,0.014443190435699717,32
0.0,0,1,whole,oracle_nuisance,generating_direction_oracle,0.2373190401741294,0.004462305146883043,32
0.0,0,1,whole,native_i17,native_learned_direction,0.2286512030213264,0.003028368103848258,32
0.0,0,1,whole,native_cp,native_learned_direction,0.22873723955364145,0.0030464704500715234,32
0.0,0,1,whole,native_cp_star,native_learned_direction,0.6411070606575735,0.004532115307225964,32
0.0,0,1,whole,oracle_useful_star,generating_direction_oracle,0.2204229806954825,0.014492594117124925,32
0.0,0,1,startup,raw,raw,4.9035316037743275,0.1002464715902561,32
0.0,0,1,startup,ema_q0p9,fixed_uniform_EMA,0.48029515802742484,0.06146866717670451,32
0.0,0,1,startup,ema_q0p99,fixed_uniform_EMA,2.076082140615214,0.5040574336951543,32
0.0,0,1,startup,ema_q0p999,fixed_uniform_EMA,4.323248238784105,1.0668624959598554,32
0.0,0,1,startup,dema_q0p9,signed_uniform_DEMA,0.7216904737811962,0.0428586466289455,32
0.0,0,1,startup,dema_q0p99,signed_uniform_DEMA,1.0817882794111435,0.25440746765830724,32
0.0,0,1,startup,dema_q0p999,signed_uniform_DEMA,3.921490588414735,0.9662127360285975,32
0.0,0,1,startup,common_kalman,model_based_common_control,0.2434527151056623,0.026448831029633177,32
0.0,0,1,startup,useful_oracle_kalman,generating_direction_oracle,0.2434527151056623,0.026448831029633177,32
0.0,0,1,startup,scalar_k0,scalar_mixture,2.076082140615214,0.5040574336951543,32
0.0,0,1,startup,scalar_k0p5,scalar_mixture,1.0522837639191198,0.1327189258607221,32
