seed,cell,probe,action,B,B_cosine,F,F_cosine,K,J_actual,J_over_zero,U_heldout_ce,heldout_accuracy_change
202609121,clean,majority,native_interleaved,0.08968696853975558,0.2783758911459788,0.07528842983634726,0.2530498813276104,-0.014398538703408322,0.002755195963866523,0.0005014007021476043,0.0024974928068773328,0.004444444444444362
202609121,clean,majority,native_grouped,0.08968696853975558,0.2783758911459788,0.07614880548807067,0.25515173138286,-0.013538163051684912,0.0027591276463272965,0.000505332384608378,0.0024992113092068835,0.004444444444444362
202609121,clean,majority,raw,0.08968696853975558,0.2783758911459788,0.08968696853975558,0.2783758911459788,0.0,0.0028662587812159548,0.0006124635194970363,0.0026584816390979316,0.004444444444444362
202609121,clean,majority,zero,0.08968696853975558,0.2783758911459788,0.0,,-0.08968696853975558,0.0022537952617189185,0.0,0.0021349106759319114,0.003555555555555534
202609121,clean,rare8,native_interleaved,2.200127514247181,0.3851466146394458,2.061639604441721,0.3908108422045072,-0.13848790980545966,-0.007478892165794731,0.02996346084897581,-0.013715291296426457,0.0
202609121,clean,rare8,native_grouped,2.200127514247181,0.3851466146394458,2.1902028113902294,0.4139002739230455,-0.00992470285695136,-0.006108603415066301,0.03133374959970424,-0.012301174126182701,0.0
202609121,clean,rare8,raw,2.200127514247181,0.3851466146394458,2.200127514247181,0.3851466146394458,0.0,-0.006757206852545556,0.030685146162224987,-0.01290771645421529,0.0
202609121,clean,rare8,zero,2.200127514247181,0.3851466146394458,0.0,,-2.200127514247181,-0.037442353014770544,0.0,-0.04428287494793359,0.0
202609121,diffuse,majority,native_interleaved,-0.15923886270806237,-0.09568003947232062,-0.159774444760169,-0.09618466800839488,-0.0005355820521066378,0.0006152112904617461,-0.0016385839712571724,0.0006758131669365453,0.0037777777777776578
202609121,diffuse,majority,native_grouped,-0.15923886270806237,-0.09568003947232062,-0.16361646124018697,-0.09850088712946299,-0.00437759853212459,0.0005826310596244428,-0.0016711642020944759,0.0006752528197117025,0.0037777777777776578
202609121,diffuse,majority,raw,-0.15923886270806237,-0.09568003947232062,-0.15923886270806237,-0.09568003947232062,0.0,0.00058549991865249,-0.0016682953430664285,0.0008131185639030925,0.0040000000000000036
202609121,diffuse,majority,zero,-0.15923886270806237,-0.09568003947232062,0.0,,0.15923886270806237,0.0022537952617189185,0.0,0.0021349106759319114,0.003555555555555534
202609121,diffuse,rare8,native_interleaved,4.769760830913141,0.16163851010141314,4.706769941116163,0.15980761195346493,-0.06299088979697759,0.010788828664510447,0.04823118167928099,-0.00032213205141928825,0.0
202609121,diffuse,rare8,native_grouped,4.769760830913141,0.16163851010141314,4.750791092365718,0.1613076771222253,-0.018969738547421917,0.011441614016476568,0.04888396703124711,0.00042993658767720433,0.0
202609121,diffuse,rare8,raw,4.769760830913141,0.16163851010141314,4.769760830913141,0.16163851010141314,0.0,0.011351436685188943,0.04879378969995948,0.00016759751177275461,0.0
202609121,diffuse,rare8,zero,4.769760830913141,0.16163851010141314,0.0,,-4.769760830913141,-0.037442353014770544,0.0,-0.04428287494793359,0.0
202609122,clean,majority,native_interleaved,0.12057344124836217,0.4089344042495496,0.09453797530819126,0.3461703997698333,-0.026035465940170907,0.003303987768270676,0.0005383153210871587,0.0038468516256946472,-0.0004444444444444695
202609122,clean,majority,native_grouped,0.12057344124836217,0.4089344042495496,0.09736714458023063,0.35270216034607843,-0.023206296668131548,0.003248552467259664,0.0004828800200761471,0.0038481978219387925,-0.0006666666666665932
202609122,clean,majority,raw,0.12057344124836217,0.4089344042495496,0.12057344124836217,0.4089344042495496,0.0,0.0036089199101143957,0.0008432474629308786,0.004028802945882148,-0.0004444444444444695
202609122,clean,majority,zero,0.12057344124836217,0.4089344042495496,0.0,,-0.12057344124836217,0.002765672447183517,0.0,0.0030628968616050467,-0.0006666666666665932
202609122,clean,rare8,native_interleaved,2.5512839337241826,0.44724331529105565,2.2920259247328905,0.43379668455832376,-0.2592580089912921,0.0028350966780831192,0.032858143304555186,0.003498637212352662,0.0
